"epoch","set","loss","mae"
1,"train",0.0624993592500687,0.183152318842136
1,"valid",0.0212033353745937,0.114554060660626
2,"train",0.0158684905618429,0.101611447014145
2,"valid",0.0151387583464384,0.101462136943611
3,"train",0.0136757204309106,0.0941759169484222
3,"valid",0.014094140380621,0.0980432691334523
4,"train",0.012651682831347,0.090126995972177
4,"valid",0.0147756598889828,0.100845478483722
5,"train",0.0120847523212433,0.0879304199042182
5,"valid",0.0143485609441996,0.0973161527859919
6,"train",0.0124904653057456,0.0889224130381229
6,"valid",0.0143720032647252,0.0969919278754084
7,"train",0.0125521924346685,0.0895513881731998
7,"valid",0.0141102820634842,0.0970936017059536
8,"train",0.0128974411636591,0.0905698201341427
8,"valid",0.0143740093335509,0.0980664486040118
9,"train",0.0122273499146104,0.0875207050743111
9,"valid",0.0149151096120477,0.0989509576847119
10,"train",0.0123208751901984,0.0886361381001241
10,"valid",0.0149497967213392,0.0991746253705151
11,"train",0.0120303127914667,0.0873451100447343
11,"valid",0.0144860967993736,0.0989881093037133
12,"train",0.0124429864808917,0.0891050406549083
12,"valid",0.0172233451157808,0.105963312294941
13,"train",0.0133708408102393,0.092397370887801
13,"valid",0.0142996283248067,0.0966950323034598
14,"train",0.0128808962181211,0.0909397155757305
14,"valid",0.0145141193643212,0.0989079683627633
15,"train",0.0124696558341384,0.0889882456067989
15,"valid",0.0143975652754307,0.0975806571648467
16,"train",0.0120693789795041,0.0877266622727122
16,"valid",0.0143147557973862,0.0973589853430917
17,"train",0.0121607687324286,0.088159179805212
17,"valid",0.013907709158957,0.0959037323015236
18,"train",0.011796023696661,0.0866899388048143
18,"valid",0.0142733892425895,0.0973152507005463
19,"train",0.0118447542190552,0.0867841249043237
19,"valid",0.0145774437114596,0.0977085181508393
20,"train",0.0121364491060376,0.0876670828022167
20,"valid",0.0159125458449125,0.101189648283485
21,"train",0.0121165653690696,0.087716078784564
21,"valid",0.0154511434957385,0.100024821651107
22,"train",0.0120293088257313,0.0872993603246064
22,"valid",0.014379027299583,0.0970884944721964
23,"train",0.0120044564828277,0.0873534876095381
23,"valid",0.0144535694271326,0.0972398528588628
24,"train",0.0118678053840995,0.0869045869174291
24,"valid",0.0138700930401683,0.0958700218084657
25,"train",0.0117354243993759,0.0865715456982564
25,"valid",0.0138640413060784,0.0956871124332897
26,"train",0.0119411572813988,0.0868766545602203
26,"valid",0.014014694839716,0.0966807876042019
27,"train",0.012595253996551,0.089357758013458
27,"valid",0.0138526232913136,0.0959798859147939
28,"train",0.0119111407548189,0.0870149800793586
28,"valid",0.014707856811583,0.0975739721066379
29,"train",0.0123742520809174,0.0888082286072991
29,"valid",0.0146738914772868,0.0977961040469753
30,"train",0.0122729921713471,0.0880587898111485
30,"valid",0.0143397273495793,0.0969787354258195
31,"train",0.0117205521091819,0.0866411365764597
31,"valid",0.0140577675774693,0.0965232185792638
32,"train",0.0116565013304353,0.0864849289527886
32,"valid",0.0143346711993217,0.0968795406800932
33,"train",0.011814596131444,0.0867872506294297
33,"valid",0.014074569568038,0.0961935580538189
34,"train",0.0119930310174823,0.087306439996625
34,"valid",0.0137802790850401,0.0954995133139011
35,"train",0.0120495548471808,0.087631208885544
35,"valid",0.0140485130250454,0.0963580054802791
36,"train",0.012210882268846,0.0878517046961259
36,"valid",0.0149301886558533,0.0983144302428326
37,"train",0.0119219133630395,0.0872331237682614
37,"valid",0.0138057367876172,0.0958070804466599
38,"train",0.0120876599103212,0.0877701853521793
38,"valid",0.0140981478616595,0.0961555967581249
39,"train",0.0119024813175201,0.0868084686927449
39,"valid",0.0139189884066582,0.0956800893680649
40,"train",0.0116835357621312,0.086383222702864
40,"valid",0.0139139257371426,0.0962429901360257
41,"train",0.0119408601894975,0.0872644601218028
41,"valid",0.0145089766010642,0.0970535243598274
42,"train",0.0117689836770296,0.086489923003152
42,"valid",0.0138350110501051,0.0960928644161175
43,"train",0.0118063353002071,0.0866549333674604
43,"valid",0.0141004454344511,0.0961793936621677
44,"train",0.0120045896619558,0.0873487986687429
44,"valid",0.0140513395890594,0.0965128842003915
45,"train",0.0120945936068892,0.0877563313531346
45,"valid",0.0141401011496782,0.0960209478541807
46,"train",0.0118536138907075,0.0866921692122598
46,"valid",0.0140324020758271,0.0961929089923398
47,"train",0.0118824075907469,0.0869598548318809
47,"valid",0.0138954501599073,0.0960811879101188
48,"train",0.0118092410266399,0.0867137430013138
48,"valid",0.0137948486953974,0.0957436011338994
49,"train",0.011766423471272,0.0865395602806104
49,"valid",0.0141434213146567,0.0970173584341909
50,"train",0.0116767669096589,0.086522031547576
50,"valid",0.0139284720644355,0.096175068602498
51,"train",0.0114313662052155,0.0853184435155553
51,"valid",0.0142074935138226,0.0965418394930368
52,"train",0.0114423083141446,0.0857268675153986
52,"valid",0.0139477606862783,0.0959164286041174
53,"train",0.0117187006399035,0.086078446024234
53,"valid",0.0139685561880469,0.0963347795303171
54,"train",0.0116940727457404,0.0863665019451677
54,"valid",0.0141265774145722,0.0961666467547806
