"epoch","set","loss","mae"
1,"train",0.0110106393694878,0.0798328816487518
1,"valid",0.00913411099463701,0.0721482449817647
2,"train",0.00789523031562567,0.0672963673786643
2,"valid",0.00910834781825542,0.0721539509472337
3,"train",0.00786070991307497,0.0673227478205383
3,"valid",0.00906040146946907,0.072404234554097
4,"train",0.00786903966218233,0.0672793857711211
4,"valid",0.00905200745910406,0.0722633332079215
5,"train",0.00785201136022806,0.0669700388054169
5,"valid",0.00904442556202412,0.07220937447195
6,"train",0.00779241137206554,0.0671721129195445
6,"valid",0.00905060302466154,0.0721369438863249
7,"train",0.00778664695098996,0.0669989783067097
7,"valid",0.0090413736179471,0.0722148340140778
8,"train",0.00779185816645622,0.0670327564784932
8,"valid",0.00913047231733799,0.0719570614478603
9,"train",0.00784303341060877,0.0672997588975224
9,"valid",0.0090955663472414,0.0720514762408295
10,"train",0.00777845783159137,0.0668437719415214
10,"valid",0.00902800168842077,0.0724744000251704
11,"train",0.00781709607690573,0.0671048277844827
11,"valid",0.0090569294989109,0.0720550053751091
12,"train",0.00777745898813009,0.066806346344938
12,"valid",0.00903446413576603,0.0722244285728744
13,"train",0.00778188835829496,0.0670487796747306
13,"valid",0.0090482709929347,0.0720995505194252
14,"train",0.00778810493648052,0.0669315679260535
14,"valid",0.00903145875781775,0.0722677732284802
15,"train",0.00777400378137827,0.0668946390742147
15,"valid",0.00903803668916225,0.0721815704383519
16,"train",0.00779160438105464,0.0671181549045045
16,"valid",0.00903433188796043,0.0722246516190014
17,"train",0.00779498787596822,0.0668883593731166
17,"valid",0.00906083546578884,0.0720358729128823
18,"train",0.00778111955150962,0.0668236841490683
18,"valid",0.00904176943004131,0.0721468852529712
19,"train",0.00784101523458958,0.0670567405389666
19,"valid",0.00903841108083725,0.0721777602274487
20,"train",0.0078292703256011,0.0668424483875148
20,"valid",0.00904717668890953,0.0721066233643651
21,"train",0.00780621264129877,0.0668842865370591
21,"valid",0.00903728231787682,0.0721895137407415
22,"train",0.00781550444662571,0.0669542157196216
22,"valid",0.00903748068958521,0.0721874012656479
23,"train",0.00776609219610691,0.0668747469191467
23,"valid",0.00904823374003172,0.0720997941925059
24,"train",0.00781391002237797,0.0669982755659217
24,"valid",0.0090315081179142,0.072266949525459
25,"train",0.00779884913936257,0.0668780487414419
25,"valid",0.00904864072799683,0.072097244150966
26,"train",0.00779921188950539,0.0668437582869265
26,"valid",0.0090395575389266,0.0721665749179762
27,"train",0.00777386734262109,0.0670067593069719
27,"valid",0.00903498381376266,0.0722162547986545
28,"train",0.00779179995879531,0.0668758451723379
28,"valid",0.00904673989862204,0.0721095361652656
29,"train",0.00777139607816935,0.0669365019432843
29,"valid",0.00903820805251598,0.0721798064212642
30,"train",0.0077524152584374,0.0668703566137584
30,"valid",0.00904372520744801,0.0721311757649685
