"epoch","set","loss","mae"
1,"train",0.0288636405020952,0.120809490100584
1,"valid",0.0146899409592152,0.0985308198455058
2,"train",0.0113869542255998,0.0850702110918263
2,"valid",0.0133162336423993,0.0942655249180202
3,"train",0.0106733981519938,0.0821668055712701
3,"valid",0.0120742404833436,0.0896967169480293
4,"train",0.00955588649958372,0.0777061453022167
4,"valid",0.0125523116439581,0.0922365049323722
5,"train",0.00867906678467989,0.07384928085251
5,"valid",0.0104276379570365,0.0830909013764284
6,"train",0.00838405266404152,0.0721409737410016
6,"valid",0.00979494396597147,0.0804016874072062
7,"train",0.00791672058403492,0.0701308545797064
7,"valid",0.00893681310117245,0.0749688179589371
8,"train",0.00730964634567499,0.067342065208021
8,"valid",0.00844431295990944,0.0725992764972198
9,"train",0.00702194217592478,0.0657596474524269
9,"valid",0.00820473488420248,0.0718566483367305
10,"train",0.00699337804690003,0.0651871296382422
10,"valid",0.0108846230432391,0.0868433978050776
11,"train",0.00685233296826482,0.0644689165684007
11,"valid",0.00805873144418001,0.0708287376136518
12,"train",0.0066939857788384,0.0636533925714978
12,"valid",0.00836321711540222,0.0733448332554184
13,"train",0.00681747263297439,0.0639776429683757
13,"valid",0.00804096087813377,0.0691671836125068
14,"train",0.00669308705255389,0.0635854260456665
14,"valid",0.00799848232418299,0.0711137086404824
15,"train",0.00668859854340553,0.0633870933420337
15,"valid",0.00823640730232,0.0695138026223844
16,"train",0.00648945383727551,0.0622859143044041
16,"valid",0.00785074848681688,0.0687347818460365
17,"train",0.00655575981363654,0.0624722019301406
17,"valid",0.0078587532043457,0.0693930551851871
18,"train",0.00649873074144125,0.0623923563923303
18,"valid",0.00778333237394691,0.0693941601711014
19,"train",0.00644852267578244,0.0622128796468823
19,"valid",0.00777078606188297,0.0690989533966157
20,"train",0.00652740057557821,0.0624803360811911
20,"valid",0.00796001777052879,0.0709313899525063
21,"train",0.00642360001802444,0.0619531122319238
21,"valid",0.00829898007214069,0.0733130848153937
22,"train",0.00648150080814958,0.0622987243099833
22,"valid",0.00798980426043272,0.069231161444362
23,"train",0.00649308552965522,0.0623021671163384
23,"valid",0.00795021653175354,0.0701509757222954
24,"train",0.00649648997932673,0.0622777404844012
24,"valid",0.00793925113976002,0.0687899111616352
25,"train",0.00657767243683338,0.0625444802327256
25,"valid",0.00792176369577646,0.069573811106388
26,"train",0.00643607042729855,0.0619652804991326
26,"valid",0.00815816596150398,0.0722077844432175
27,"train",0.00648797629401088,0.0622558763549596
27,"valid",0.00814268551766872,0.0724487157892345
28,"train",0.00648958282545209,0.0624257732617677
28,"valid",0.00792392157018185,0.0694996922733521
29,"train",0.00641143415123224,0.0620262231079817
29,"valid",0.00781335216015577,0.0688825320284337
30,"train",0.00641579367220402,0.0619030250443927
30,"valid",0.0078287934884429,0.0689864967228446
31,"train",0.00635416666045785,0.0616810598677119
31,"valid",0.00787387974560261,0.069855646251813
32,"train",0.00631419336423278,0.0613331407277685
32,"valid",0.00847747828811407,0.074411307907835
33,"train",0.00634659687057137,0.0617090192471873
33,"valid",0.00793771911412477,0.0686555764061972
34,"train",0.00633339723572135,0.0615410128359607
34,"valid",0.00786416884511709,0.0692749729566885
35,"train",0.0063033732585609,0.0613348514770882
35,"valid",0.0081279119476676,0.0722129698531295
36,"train",0.00634599477052689,0.0615126931436559
36,"valid",0.00790307018905878,0.069910625506323
37,"train",0.00630988460034132,0.0613570477126152
37,"valid",0.00793975219130516,0.0698766757749794
38,"train",0.00630423938855529,0.0613123723280665
38,"valid",0.00792009197175503,0.069585999229597
39,"train",0.00633566966280341,0.0615941850165588
39,"valid",0.00794812384992838,0.0701554749422115
