Model,actual_rate,predicted_rate,recall,precision
CNN-LSTM (skip),0.24779573512906847,0.23883670033670035,0.7032443180274112,0.7296238078790998
ConvLSTM (skip),0.24779573512906847,0.2010246913580247,0.6288238384680188,0.7751279918263889
ConvLSTM (no skip),0.24779573512906847,0.19720370370370371,0.6301803556384916,0.7918512764038166
Per-cell LSTM (skip),0.24779573512906847,0.1790493827160494,0.5811872129573433,0.8043351532284856
Per-cell LSTM (no skip),0.24779573512906847,0.18151346801346802,0.5934434248548368,0.8101478712780988
CNN-LSTM (no skip),0.24779573512906847,0.18417452300785633,0.46152609313996357,0.6209555787799476
STAR (spatial+lag),0.24779573512906847,0.20420763187429855,0.6349451505077315,0.7704741438534974
AR(1) per cell,0.24779573512906847,0.2065594837261504,0.6411593126375766,0.7691563725077359
Persistence,0.24779573512906847,0.24758249158249157,0.7188114282608499,0.7194305427115633
