City,Model,RMSE,MAE
Poznań,ConvLSTM (skip),5.725417636443989,3.9390802237417115
Poznań,ConvLSTM (no skip),7.52569778198361,4.870322477888794
Poznań,AR(1) per cell,5.962976645724642,3.979663435894229
Poznań,STAR,6.407921913543483,4.232251054064983
Poznań,Persistence,6.0496802644018794,4.122788851275857
Gdańsk,CNN-LSTM (skip),6.175275365371648,4.245814542063715
Gdańsk,CNN-LSTM (no skip),10.045562459683408,6.742748542292145
Gdańsk,Per-cell LSTM (skip),5.838082047664764,4.029858163736405
Gdańsk,Per-cell LSTM (no skip),5.597362385143133,3.969830520079508
Gdańsk,ConvLSTM (skip),5.553802365603669,3.8976932971320424
Gdańsk,ConvLSTM (no skip),7.292728057337669,5.190225997325914
Gdańsk,AR(1) per cell,5.893417286370189,4.006503789277974
Gdańsk,STAR,6.081167401104531,4.1081509843161355
Gdańsk,Persistence,6.217184597867639,4.261473271949793
Szczecin,CNN-LSTM (skip),5.031646030937505,3.3691316684685657
Szczecin,CNN-LSTM (no skip),8.446317802691539,4.9997243231003425
Szczecin,Per-cell LSTM (skip),4.985202128351111,3.254047032562586
Szczecin,Per-cell LSTM (no skip),4.706675854811888,3.167935963069991
Szczecin,ConvLSTM (skip),4.730890931519719,3.05530467752715
Szczecin,ConvLSTM (no skip),6.410548786940668,3.9528060855136644
Szczecin,AR(1) per cell,4.999547879016585,3.2242534293179856
Szczecin,STAR,4.979136254053239,3.2195284313608186
Szczecin,Persistence,5.066198348366681,3.3663983571676552
Bydgoszcz,CNN-LSTM (skip),6.901085517743157,4.392924604796791
Bydgoszcz,CNN-LSTM (no skip),11.123259070433411,6.741747862029592
Bydgoszcz,Per-cell LSTM (skip),7.076434526650319,4.42739070205673
Bydgoszcz,Per-cell LSTM (no skip),6.787008935075541,4.306343128914166
Bydgoszcz,ConvLSTM (skip),6.489740543229282,4.22356038899732
Bydgoszcz,ConvLSTM (no skip),8.290521725876326,5.051772148652
Bydgoszcz,AR(1) per cell,6.915886934958329,4.378087504423381
Bydgoszcz,STAR,7.186652458161147,4.5561557329537825
Bydgoszcz,Persistence,6.949187398349396,4.4153339386722195
Lublin,CNN-LSTM (skip),6.086448360926033,4.140388637951705
Lublin,CNN-LSTM (no skip),7.583568508163919,5.31521806984867
Lublin,Per-cell LSTM (skip),5.846951546929719,3.996853541509582
Lublin,Per-cell LSTM (no skip),5.609553967723258,3.8495844952836316
Lublin,ConvLSTM (skip),5.690124883251619,3.8571415447047785
Lublin,ConvLSTM (no skip),6.425335182575859,4.567856683515697
Lublin,AR(1) per cell,5.656419429666202,3.8398030100195975
Lublin,STAR,6.038392436129611,4.125656148725164
Lublin,Persistence,6.130541515973211,4.1405248402813335
Katowice,CNN-LSTM (skip),9.143314825842852,6.08492250722337
Katowice,CNN-LSTM (no skip),11.635174626370484,7.7193756461518355
Katowice,Per-cell LSTM (skip),9.135563454873768,6.281723531515707
Katowice,Per-cell LSTM (no skip),9.00381656388953,6.073785010973874
Katowice,ConvLSTM (skip),8.708692313351717,5.987880536412293
Katowice,ConvLSTM (no skip),12.062219698904798,8.29678132350968
Katowice,AR(1) per cell,8.547202719114937,5.872079866657203
Katowice,STAR,9.72601142676594,6.436199415317132
Katowice,Persistence,9.178287135418481,6.097100822572354
Białystok,CNN-LSTM (skip),3.84895091138892,2.7468885396546536
Białystok,CNN-LSTM (no skip),4.704089810586483,3.556063529792297
Białystok,Per-cell LSTM (skip),3.4831662918606443,2.5014615152323483
Białystok,Per-cell LSTM (no skip),3.5635890429185166,2.611362454782124
Białystok,ConvLSTM (skip),3.549955504122946,2.5252491973796687
Białystok,ConvLSTM (no skip),3.5413294363547045,2.628290638775737
Białystok,AR(1) per cell,3.595153846965246,2.5779781271064803
Białystok,STAR,3.574687999129726,2.5142435648964434
Białystok,Persistence,3.85895805313032,2.7465323125138696
Rzeszów,CNN-LSTM (skip),4.165522581095959,3.028852291219807
Rzeszów,CNN-LSTM (no skip),5.320506801298244,4.05809196638628
Rzeszów,Per-cell LSTM (skip),4.091781340541185,2.9147223833827574
Rzeszów,Per-cell LSTM (no skip),3.8679511574890753,2.8222592088656393
Rzeszów,ConvLSTM (skip),3.9928766177780903,2.9236110171041947
Rzeszów,ConvLSTM (no skip),4.191726579140035,2.9946680791751845
Rzeszów,AR(1) per cell,3.9805656662235034,2.918948066288086
Rzeszów,STAR,4.061604585007003,2.86405979879062
Rzeszów,Persistence,4.191667735155469,3.0400154329376448
